year_month,district,side,tier,secondary_price_per_m2_try,secondary_price_per_m2_usd,new_construction_price_per_m2_try,rental_per_m2_monthly_try,n_listings_secondary,n_listings_new_construction,n_listings_rental,try_usd_rate,cbrt_repo_rate_pct,avg_mortgage_rate_pct,inflation_yoy_pct
2022-06,Nişantaşı,European,luxury,46134,2714,50840,193.8,174,64,16,17,14,19,80
2022-07,Nişantaşı,European,luxury,72749,4279,77796,305.5,87,46,70,17,12,17,80
2022-08,Nişantaşı,European,luxury,70632,4155,73876,296.7,56,74,77,17,12,17,80
2022-09,Nişantaşı,European,luxury,72104,4241,78214,302.8,174,20,98,17,12,17,80
2022-10,Nişantaşı,European,luxury,74687,3994,79829,313.7,94,33,42,18.7,9,14,64
2022-11,Nişantaşı,European,luxury,67783,3625,74127,284.7,54,54,18,18.7,9,14,64
2022-12,Nişantaşı,European,luxury,69731,3729,78583,292.9,140,58,39,18.7,9,14,64
2023-01,Nişantaşı,European,luxury,97182,4628,108011,408.2,112,25,51,21,8.5,13.5,39
2023-02,Nişantaşı,European,luxury,99759,4750,114398,419,149,23,41,21,8.5,13.5,39
2023-03,Nişantaşı,European,luxury,97624,4649,107005,410,69,49,86,21,8.5,13.5,39
2023-04,Nişantaşı,European,luxury,97375,4637,107928,409,177,79,32,21,8.5,13.5,39
2023-05,Nişantaşı,European,luxury,99146,4721,115606,416.4,109,52,17,21,8.5,13.5,39
2023-06,Nişantaşı,European,luxury,95464,4546,106585,400.9,112,61,55,21,8.5,13.5,39
2023-07,Nişantaşı,European,luxury,124646,4704,140875,523.5,86,34,107,26.5,25,30,65
2023-08,Nişantaşı,European,luxury,123635,4665,142726,519.3,146,42,24,26.5,25,30,65
2023-09,Nişantaşı,European,luxury,127358,4806,142170,534.9,141,65,36,26.5,25,30,65
2023-10,Nişantaşı,European,luxury,124776,4303,134976,524.1,57,71,24,29,42.5,47.5,65
2023-11,Nişantaşı,European,luxury,116293,4010,127933,488.4,89,26,68,29,42.5,47.5,65
2023-12,Nişantaşı,European,luxury,125850,4340,137373,528.6,173,48,16,29,42.5,47.5,65
2024-01,Nişantaşı,European,luxury,138972,4343,153563,583.7,90,72,81,32,50,55,75
2024-02,Nişantaşı,European,luxury,138917,4341,152474,583.5,48,32,56,32,50,55,75
2024-03,Nişantaşı,European,luxury,143411,4482,154476,602.3,117,38,108,32,50,55,75
2024-04,Nişantaşı,European,luxury,149040,4658,166346,626,102,37,54,32,50,55,75
2024-05,Nişantaşı,European,luxury,139088,4346,148290,584.2,96,12,40,32,50,55,75
2024-06,Nişantaşı,European,luxury,144244,4508,165361,605.8,174,69,100,32,50,55,75
2024-07,Nişantaşı,European,luxury,148167,4358,161376,622.3,39,15,102,34,50,55,49
2024-08,Nişantaşı,European,luxury,155749,4581,166504,654.1,93,32,66,34,50,55,49
2024-09,Nişantaşı,European,luxury,149212,4389,174160,626.7,103,23,44,34,50,55,49
2024-10,Nişantaşı,European,luxury,154772,4552,167487,650,94,22,105,34,50,55,49
2024-11,Nişantaşı,European,luxury,150401,4424,165516,631.7,176,31,108,34,50,55,49
2024-12,Nişantaşı,European,luxury,153290,4509,167739,643.8,178,79,22,34,50,55,49
2025-01,Nişantaşı,European,luxury,159474,4430,171892,669.8,166,56,67,36,47.5,52.5,36
2025-02,Nişantaşı,European,luxury,162161,4504,181213,681.1,17,61,93,36,47.5,52.5,36
2025-03,Nişantaşı,European,luxury,163425,4540,175385,686.4,168,22,113,36,47.5,52.5,36
2025-04,Nişantaşı,European,luxury,160690,4464,178751,674.9,72,71,54,36,47.5,52.5,36
2025-05,Nişantaşı,European,luxury,170765,4743,180409,717.2,148,41,16,36,47.5,52.5,36
2025-06,Nişantaşı,European,luxury,159380,4427,174960,669.4,132,41,58,36,47.5,52.5,36
2025-07,Nişantaşı,European,luxury,169560,4645,190915,712.2,131,58,55,36.5,45,50,30
2025-08,Nişantaşı,European,luxury,170467,4670,185649,716,15,74,86,36.5,45,50,30
2025-09,Nişantaşı,European,luxury,170780,4679,192343,717.3,138,67,92,36.5,45,50,30
2025-10,Nişantaşı,European,luxury,166678,4567,186187,700,92,72,117,36.5,45,50,30
2025-11,Nişantaşı,European,luxury,170572,4673,184645,716.4,104,56,55,36.5,45,50,30
2025-12,Nişantaşı,European,luxury,173366,4750,191164,728.1,144,69,98,36.5,45,50,30
2026-01,Nişantaşı,European,luxury,173740,4760,190937,729.7,47,55,66,36.5,45,50,30
2026-02,Nişantaşı,European,luxury,170248,4664,194647,715,164,78,53,36.5,45,50,30
2026-03,Nişantaşı,European,luxury,168776,4624,188656,708.9,18,45,12,36.5,45,50,30
2026-04,Nişantaşı,European,luxury,175587,4811,191643,737.5,60,42,81,36.5,45,50,30
2020-01,Bebek,European,luxury,10671,1721,12188,44.8,81,31,65,6.2,10.75,15.75,11
2020-02,Bebek,European,luxury,10715,1728,12013,45,75,6,113,6.2,10.75,15.75,11
2020-03,Bebek,European,luxury,10656,1719,11423,44.8,171,67,83,6.2,10.75,15.75,11
2020-04,Bebek,European,luxury,13242,1892,14963,55.6,108,60,29,7,8.25,13.25,11
2020-05,Bebek,European,luxury,13301,1900,14339,55.9,61,38,116,7,8.25,13.25,11
2020-06,Bebek,European,luxury,12875,1839,14655,54.1,98,13,37,7,8.25,13.25,11
2020-07,Bebek,European,luxury,13317,1902,14541,55.9,131,43,18,7,8.25,13.25,14
2020-08,Bebek,European,luxury,12480,1783,14053,52.4,175,57,26,7,8.25,13.25,14
2020-09,Bebek,European,luxury,13732,1962,15258,57.7,95,37,13,7,8.25,13.25,14
2020-10,Bebek,European,luxury,17772,2370,18730,74.6,92,12,56,7.5,10.25,15.25,14
2020-11,Bebek,European,luxury,18003,2400,20173,75.6,89,70,92,7.5,10.25,15.25,14
2020-12,Bebek,European,luxury,18145,2419,20365,76.2,38,71,71,7.5,10.25,15.25,14
2021-01,Bebek,European,luxury,24962,3328,27933,104.8,30,41,35,7.5,17,22,19.5
2021-02,Bebek,European,luxury,24681,3291,27353,103.7,160,65,53,7.5,17,22,19.5
2021-03,Bebek,European,luxury,24672,3290,26375,103.6,160,71,59,7.5,17,22,19.5
2021-04,Bebek,European,luxury,24362,2866,26581,102.3,89,78,33,8.5,19,24,19.5
2021-05,Bebek,European,luxury,24333,2863,26508,102.2,16,11,29,8.5,19,24,19.5
2021-06,Bebek,European,luxury,24345,2864,27865,102.2,41,46,88,8.5,19,24,19.5
2021-07,Bebek,European,luxury,36511,4295,41525,153.3,54,13,18,8.5,19,24,19.5
2021-08,Bebek,European,luxury,35063,4125,37112,147.3,172,44,50,8.5,19,24,19.5
2021-09,Bebek,European,luxury,35773,4209,40539,150.2,96,62,76,8.5,19,24,19.5
2021-10,Bebek,European,luxury,34708,3155,37049,145.8,158,60,52,11,14,19,54
2021-11,Bebek,European,luxury,35702,3246,40160,149.9,63,27,115,11,14,19,54
2021-12,Bebek,European,luxury,36217,3292,42126,152.1,75,56,53,11,14,19,54
2022-01,Bebek,European,luxury,71099,4903,77044,298.6,78,66,110,14.5,14,19,54
2022-02,Bebek,European,luxury,69870,4819,76625,293.5,30,8,21,14.5,14,19,54
2022-03,Bebek,European,luxury,72216,4980,81173,303.3,139,32,68,14.5,14,19,54
2022-04,Bebek,European,luxury,67598,3976,76994,283.9,176,25,22,17,14,19,80
2022-05,Bebek,European,luxury,69408,4083,78736,291.5,133,30,56,17,14,19,80
2022-06,Bebek,European,luxury,72234,4249,76612,303.4,32,76,55,17,14,19,80
2022-07,Bebek,European,luxury,107906,6347,116645,453.2,95,28,59,17,12,17,80
2022-08,Bebek,European,luxury,106339,6255,112896,446.6,39,76,43,17,12,17,80
2022-09,Bebek,European,luxury,109033,6414,115299,457.9,44,25,72,17,12,17,80
2022-10,Bebek,European,luxury,113090,6048,124015,475,31,28,81,18.7,9,14,64
2022-11,Bebek,European,luxury,113813,6086,128524,478,76,35,87,18.7,9,14,64
2022-12,Bebek,European,luxury,109355,5848,119786,459.3,151,71,70,18.7,9,14,64
2023-01,Bebek,European,luxury,146977,6999,166665,617.3,131,13,88,21,8.5,13.5,39
2023-02,Bebek,European,luxury,145284,6918,157726,610.2,156,17,54,21,8.5,13.5,39
2023-03,Bebek,European,luxury,151511,7215,168870,636.3,46,11,84,21,8.5,13.5,39
2023-04,Bebek,European,luxury,146882,6994,157717,616.9,132,71,82,21,8.5,13.5,39
2023-05,Bebek,European,luxury,151777,7227,172368,637.5,178,71,81,21,8.5,13.5,39
2023-06,Bebek,European,luxury,151233,7202,162538,635.2,56,44,87,21,8.5,13.5,39
2023-07,Bebek,European,luxury,183621,6929,202757,771.2,177,25,61,26.5,25,30,65
2023-08,Bebek,European,luxury,183484,6924,204537,770.6,41,24,62,26.5,25,30,65
2023-09,Bebek,European,luxury,191810,7238,214766,805.6,29,9,90,26.5,25,30,65
2023-10,Bebek,European,luxury,182328,6287,197423,765.8,104,75,49,29,42.5,47.5,65
2023-11,Bebek,European,luxury,191801,6614,214274,805.6,138,27,12,29,42.5,47.5,65
2023-12,Bebek,European,luxury,186468,6430,205035,783.2,175,23,51,29,42.5,47.5,65
2024-01,Bebek,European,luxury,203786,6368,239108,855.9,36,29,62,32,50,55,75
2024-02,Bebek,European,luxury,211428,6607,224757,888,131,58,57,32,50,55,75
2024-03,Bebek,European,luxury,215908,6747,241722,906.8,176,64,61,32,50,55,75
2024-04,Bebek,European,luxury,210589,6581,235062,884.5,173,50,66,32,50,55,75
2024-05,Bebek,European,luxury,220731,6898,234283,927.1,53,24,16,32,50,55,75
2024-06,Bebek,European,luxury,211624,6613,240851,888.8,155,12,73,32,50,55,75
2024-07,Bebek,European,luxury,231252,6802,251857,971.3,159,34,12,34,50,55,49
2024-08,Bebek,European,luxury,226407,6659,239786,950.9,23,23,81,34,50,55,49
2024-09,Bebek,European,luxury,226055,6649,253564,949.4,36,23,23,34,50,55,49
2024-10,Bebek,European,luxury,238067,7002,260329,999.9,106,69,108,34,50,55,49
2024-11,Bebek,European,luxury,238501,7015,260600,1001.7,84,35,61,34,50,55,49
2024-12,Bebek,European,luxury,236751,6963,259952,994.4,82,33,14,34,50,55,49
2025-01,Bebek,European,luxury,249356,6927,276714,1047.3,92,66,52,36,47.5,52.5,36
2025-02,Bebek,European,luxury,248805,6911,280547,1045,171,64,88,36,47.5,52.5,36
2025-03,Bebek,European,luxury,248241,6896,274178,1042.6,111,8,99,36,47.5,52.5,36
2025-04,Bebek,European,luxury,248892,6914,282465,1045.3,71,18,111,36,47.5,52.5,36
2025-05,Bebek,European,luxury,244963,6805,269347,1028.8,89,34,12,36,47.5,52.5,36
2025-06,Bebek,European,luxury,235947,6554,250137,991,141,51,35,36,47.5,52.5,36
2025-07,Bebek,European,luxury,269621,7387,294717,1132.4,94,39,87,36.5,45,50,30
2025-08,Bebek,European,luxury,250959,6876,273003,1054,27,67,33,36.5,45,50,30
2025-09,Bebek,European,luxury,267727,7335,292853,1124.5,62,15,105,36.5,45,50,30
2025-10,Bebek,European,luxury,262374,7188,289593,1102,89,36,92,36.5,45,50,30
2025-11,Bebek,European,luxury,269529,7384,293873,1132,62,16,11,36.5,45,50,30
2025-12,Bebek,European,luxury,269279,7378,295724,1131,42,55,91,36.5,45,50,30
2026-01,Bebek,European,luxury,263408,7217,302714,1106.3,84,66,36,36.5,45,50,30
2026-02,Bebek,European,luxury,246183,6745,269442,1034,116,57,39,36.5,45,50,30
2026-03,Bebek,European,luxury,267460,7328,276765,1123.3,49,39,43,36.5,45,50,30
2026-04,Bebek,European,luxury,269485,7383,289389,1131.8,150,34,89,36.5,45,50,30
2020-01,Etiler,European,luxury,7267,1172,8037,30.5,67,38,28,6.2,10.75,15.75,11
2020-02,Etiler,European,luxury,7236,1167,8033,30.4,172,17,91,6.2,10.75,15.75,11
2020-03,Etiler,European,luxury,7072,1141,7569,29.7,138,18,91,6.2,10.75,15.75,11
2020-04,Etiler,European,luxury,8657,1237,9862,36.4,76,54,31,7,8.25,13.25,11
2020-05,Etiler,European,luxury,8787,1255,9601,36.9,52,30,94,7,8.25,13.25,11
2020-06,Etiler,European,luxury,8533,1219,9377,35.8,178,10,99,7,8.25,13.25,11
2020-07,Etiler,European,luxury,8971,1282,9217,37.7,45,17,43,7,8.25,13.25,14
2020-08,Etiler,European,luxury,8677,1240,9060,36.4,88,53,56,7,8.25,13.25,14
2020-09,Etiler,European,luxury,8363,1195,9426,35.1,166,49,51,7,8.25,13.25,14
2020-10,Etiler,European,luxury,11628,1550,13072,48.8,155,64,70,7.5,10.25,15.25,14
2020-11,Etiler,European,luxury,11786,1572,13154,49.5,95,12,63,7.5,10.25,15.25,14
2020-12,Etiler,European,luxury,11632,1551,12684,48.9,43,15,66,7.5,10.25,15.25,14
2021-01,Etiler,European,luxury,16420,2189,18708,69,109,29,39,7.5,17,22,19.5
2021-02,Etiler,European,luxury,15945,2126,17865,67,17,8,14,7.5,17,22,19.5
2021-03,Etiler,European,luxury,14958,1994,15434,62.8,169,35,79,7.5,17,22,19.5
2021-04,Etiler,European,luxury,15940,1875,17741,66.9,33,11,97,8.5,19,24,19.5
2021-05,Etiler,European,luxury,16413,1931,17785,68.9,30,14,52,8.5,19,24,19.5
2021-06,Etiler,European,luxury,15660,1842,17247,65.8,102,47,39,8.5,19,24,19.5
2021-07,Etiler,European,luxury,23189,2728,24880,97.4,85,72,87,8.5,19,24,19.5
2021-08,Etiler,European,luxury,23284,2739,25599,97.8,109,7,108,8.5,19,24,19.5
2021-09,Etiler,European,luxury,23410,2754,26267,98.3,129,40,41,8.5,19,24,19.5
2021-10,Etiler,European,luxury,23426,2130,24976,98.4,177,67,83,11,14,19,54
2021-11,Etiler,European,luxury,23867,2170,27015,100.2,114,28,89,11,14,19,54
2021-12,Etiler,European,luxury,22839,2076,25489,95.9,15,15,62,11,14,19,54
2022-01,Etiler,European,luxury,46408,3201,51374,194.9,179,55,28,14.5,14,19,54
2022-02,Etiler,European,luxury,45111,3111,46969,189.5,141,38,109,14.5,14,19,54
2022-03,Etiler,European,luxury,47237,3258,52047,198.4,160,58,63,14.5,14,19,54
2022-04,Etiler,European,luxury,46782,2752,50496,196.5,42,15,80,17,14,19,80
2022-05,Etiler,European,luxury,46393,2729,50818,194.8,160,76,23,17,14,19,80
2022-06,Etiler,European,luxury,46292,2723,50179,194.4,144,55,20,17,14,19,80
2022-07,Etiler,European,luxury,72999,4294,79349,306.6,67,36,76,17,12,17,80
2022-08,Etiler,European,luxury,72730,4278,81114,305.5,18,69,32,17,12,17,80
2022-09,Etiler,European,luxury,72213,4248,75784,303.3,110,26,24,17,12,17,80
2022-10,Etiler,European,luxury,72728,3889,80289,305.5,83,74,101,18.7,9,14,64
2022-11,Etiler,European,luxury,68063,3640,76316,285.9,94,21,12,18.7,9,14,64
2022-12,Etiler,European,luxury,70799,3786,77440,297.4,149,23,58,18.7,9,14,64
2023-01,Etiler,European,luxury,100076,4766,111966,420.3,27,62,28,21,8.5,13.5,39
2023-02,Etiler,European,luxury,97431,4640,108972,409.2,140,12,33,21,8.5,13.5,39
2023-03,Etiler,European,luxury,93180,4437,98797,391.4,141,61,69,21,8.5,13.5,39
2023-04,Etiler,European,luxury,99783,4752,114944,419.1,71,50,74,21,8.5,13.5,39
2023-05,Etiler,European,luxury,98772,4703,104122,414.8,125,62,16,21,8.5,13.5,39
2023-06,Etiler,European,luxury,99816,4753,110083,419.2,175,6,102,21,8.5,13.5,39
2023-07,Etiler,European,luxury,129772,4897,145841,545,160,6,37,26.5,25,30,65
2023-08,Etiler,European,luxury,117797,4445,131009,494.7,142,78,113,26.5,25,30,65
2023-09,Etiler,European,luxury,126002,4755,139027,529.2,96,65,115,26.5,25,30,65
2023-10,Etiler,European,luxury,123381,4255,135122,518.2,106,65,42,29,42.5,47.5,65
2023-11,Etiler,European,luxury,121100,4176,132242,508.6,165,52,51,29,42.5,47.5,65
2023-12,Etiler,European,luxury,122796,4234,136594,515.7,83,22,16,29,42.5,47.5,65
2024-01,Etiler,European,luxury,142704,4459,161346,599.4,93,56,88,32,50,55,75
2024-02,Etiler,European,luxury,145997,4562,161316,613.2,179,77,74,32,50,55,75
2024-03,Etiler,European,luxury,145070,4533,159858,609.3,152,71,67,32,50,55,75
2024-04,Etiler,European,luxury,143513,4485,157795,602.8,126,75,118,32,50,55,75
2024-05,Etiler,European,luxury,143258,4477,149065,601.7,147,6,35,32,50,55,75
2024-06,Etiler,European,luxury,149840,4682,169973,629.3,140,23,50,32,50,55,75
2024-07,Etiler,European,luxury,148820,4377,166909,625,33,13,94,34,50,55,49
2024-08,Etiler,European,luxury,151862,4467,161279,637.8,110,32,98,34,50,55,49
2024-09,Etiler,European,luxury,145463,4278,160862,610.9,50,24,74,34,50,55,49
2024-10,Etiler,European,luxury,147777,4346,151321,620.7,16,74,86,34,50,55,49
2024-11,Etiler,European,luxury,158349,4657,172762,665.1,25,28,47,34,50,55,49
2024-12,Etiler,European,luxury,159054,4678,168014,668,28,79,31,34,50,55,49
2025-01,Etiler,European,luxury,170644,4740,187385,716.7,15,66,88,36,47.5,52.5,36
2025-02,Etiler,European,luxury,159384,4427,183258,669.4,127,55,79,36,47.5,52.5,36
2025-03,Etiler,European,luxury,161946,4498,171501,680.2,172,29,63,36,47.5,52.5,36
2025-04,Etiler,European,luxury,169330,4704,189328,711.2,31,12,17,36,47.5,52.5,36
2025-05,Etiler,European,luxury,171885,4775,189110,721.9,116,5,41,36,47.5,52.5,36
2025-06,Etiler,European,luxury,153527,4265,168662,644.8,27,8,104,36,47.5,52.5,36
2025-07,Etiler,European,luxury,171131,4689,186732,718.7,70,30,114,36.5,45,50,30
2025-08,Etiler,European,luxury,163744,4486,173451,687.7,97,43,71,36.5,45,50,30
2025-09,Etiler,European,luxury,174621,4784,195505,733.4,43,10,89,36.5,45,50,30
2025-10,Etiler,European,luxury,170319,4666,183103,715.3,101,75,31,36.5,45,50,30
2025-11,Etiler,European,luxury,173467,4753,188143,728.6,68,26,68,36.5,45,50,30
2025-12,Etiler,European,luxury,172492,4726,187672,724.5,69,28,26,36.5,45,50,30
2026-01,Etiler,European,luxury,177088,4852,191110,743.8,112,26,13,36.5,45,50,30
2026-02,Etiler,European,luxury,172510,4726,188042,724.5,58,68,111,36.5,45,50,30
2026-03,Etiler,European,luxury,180453,4944,192354,757.9,34,66,103,36.5,45,50,30
2026-04,Etiler,European,luxury,167968,4602,183175,705.5,99,72,10,36.5,45,50,30
2020-01,Levent,European,luxury,6508,1050,7181,27.3,62,44,118,6.2,10.75,15.75,11
2020-02,Levent,European,luxury,6375,1028,7291,26.8,34,49,78,6.2,10.75,15.75,11
2020-03,Levent,European,luxury,6331,1021,6926,26.6,171,44,77,6.2,10.75,15.75,11
2020-04,Levent,European,luxury,8063,1152,9018,33.9,41,11,114,7,8.25,13.25,11
2020-05,Levent,European,luxury,7753,1108,8409,32.6,45,6,46,7,8.25,13.25,11
2020-06,Levent,European,luxury,7748,1107,8727,32.5,75,13,69,7,8.25,13.25,11
2020-07,Levent,European,luxury,7676,1097,8609,32.2,46,29,112,7,8.25,13.25,14
2020-08,Levent,European,luxury,7731,1104,8503,32.5,166,28,100,7,8.25,13.25,14
2020-09,Levent,European,luxury,8051,1150,8934,33.8,126,12,80,7,8.25,13.25,14
2020-10,Levent,European,luxury,10271,1369,11289,43.1,135,71,104,7.5,10.25,15.25,14
2020-11,Levent,European,luxury,10591,1412,11412,44.5,116,27,114,7.5,10.25,15.25,14
2020-12,Levent,European,luxury,10041,1339,10827,42.2,29,41,65,7.5,10.25,15.25,14
2021-01,Levent,European,luxury,13699,1827,14407,57.5,143,34,38,7.5,17,22,19.5
2021-02,Levent,European,luxury,15122,2016,16996,63.5,121,48,53,7.5,17,22,19.5
2021-03,Levent,European,luxury,14064,1875,15254,59.1,116,44,59,7.5,17,22,19.5
2021-04,Levent,European,luxury,14429,1698,16569,60.6,48,18,70,8.5,19,24,19.5
2021-05,Levent,European,luxury,14385,1692,15941,60.4,28,38,29,8.5,19,24,19.5
2021-06,Levent,European,luxury,13742,1617,15553,57.7,65,47,101,8.5,19,24,19.5
2021-07,Levent,European,luxury,20923,2462,23507,87.9,165,52,104,8.5,19,24,19.5
2021-08,Levent,European,luxury,19954,2348,21349,83.8,178,58,85,8.5,19,24,19.5
2021-09,Levent,European,luxury,20296,2388,22571,85.2,68,60,31,8.5,19,24,19.5
2021-10,Levent,European,luxury,21040,1913,23449,88.4,140,17,107,11,14,19,54
2021-11,Levent,European,luxury,21118,1920,24258,88.7,133,66,68,11,14,19,54
2021-12,Levent,European,luxury,21558,1960,23221,90.5,156,20,94,11,14,19,54
2022-01,Levent,European,luxury,40286,2778,43226,169.2,63,39,52,14.5,14,19,54
2022-02,Levent,European,luxury,40766,2811,44888,171.2,34,9,64,14.5,14,19,54
2022-03,Levent,European,luxury,42724,2946,46749,179.4,19,78,32,14.5,14,19,54
2022-04,Levent,European,luxury,42850,2521,46782,180,76,52,48,17,14,19,80
2022-05,Levent,European,luxury,40201,2365,44165,168.8,134,45,64,17,14,19,80
2022-06,Levent,European,luxury,40048,2356,45165,168.2,85,20,78,17,14,19,80
2022-07,Levent,European,luxury,63583,3740,69543,267,26,70,75,17,12,17,80
2022-08,Levent,European,luxury,65138,3832,71970,273.6,129,53,25,17,12,17,80
2022-09,Levent,European,luxury,62073,3651,69588,260.7,148,52,83,17,12,17,80
2022-10,Levent,European,luxury,66077,3534,72176,277.5,139,54,10,18.7,9,14,64
2022-11,Levent,European,luxury,66157,3538,73427,277.9,60,50,67,18.7,9,14,64
2022-12,Levent,European,luxury,67450,3607,71570,283.3,171,77,98,18.7,9,14,64
2023-01,Levent,European,luxury,88360,4208,99225,371.1,151,9,48,21,8.5,13.5,39
2023-02,Levent,European,luxury,90122,4292,97575,378.5,161,11,38,21,8.5,13.5,39
2023-03,Levent,European,luxury,90393,4304,95408,379.7,57,26,103,21,8.5,13.5,39
2023-04,Levent,European,luxury,91800,4371,97493,385.6,150,41,56,21,8.5,13.5,39
2023-05,Levent,European,luxury,91716,4367,99608,385.2,127,63,28,21,8.5,13.5,39
2023-06,Levent,European,luxury,91228,4344,101685,383.2,151,35,47,21,8.5,13.5,39
2023-07,Levent,European,luxury,110083,4154,124930,462.3,178,75,109,26.5,25,30,65
2023-08,Levent,European,luxury,106481,4018,114185,447.2,28,42,105,26.5,25,30,65
2023-09,Levent,European,luxury,112387,4241,125793,472,84,36,104,26.5,25,30,65
2023-10,Levent,European,luxury,110755,3819,123400,465.2,171,58,100,29,42.5,47.5,65
2023-11,Levent,European,luxury,110718,3818,119326,465,120,7,26,29,42.5,47.5,65
2023-12,Levent,European,luxury,107593,3710,118947,451.9,61,34,57,29,42.5,47.5,65
2024-01,Levent,European,luxury,126930,3967,146228,533.1,102,9,26,32,50,55,75
2024-02,Levent,European,luxury,130619,4082,136737,548.6,49,34,77,32,50,55,75
2024-03,Levent,European,luxury,129607,4050,145807,544.3,35,31,109,32,50,55,75
2024-04,Levent,European,luxury,131165,4099,140405,550.9,95,59,47,32,50,55,75
2024-05,Levent,European,luxury,126452,3952,143460,531.1,174,41,106,32,50,55,75
2024-06,Levent,European,luxury,127335,3979,144928,534.8,77,49,46,32,50,55,75
2024-07,Levent,European,luxury,132840,3907,149904,557.9,74,61,46,34,50,55,49
2024-08,Levent,European,luxury,137485,4044,148544,577.4,149,45,85,34,50,55,49
2024-09,Levent,European,luxury,133114,3915,144478,559.1,19,15,26,34,50,55,49
2024-10,Levent,European,luxury,136611,4018,155917,573.8,74,47,43,34,50,55,49
2024-11,Levent,European,luxury,138021,4059,150848,579.7,112,46,14,34,50,55,49
2024-12,Levent,European,luxury,144754,4257,155101,608,172,17,28,34,50,55,49
2025-01,Levent,European,luxury,150664,4185,162961,632.8,28,21,76,36,47.5,52.5,36
2025-02,Levent,European,luxury,144713,4020,156739,607.8,50,19,104,36,47.5,52.5,36
2025-03,Levent,European,luxury,148155,4115,168899,622.3,118,78,86,36,47.5,52.5,36
2025-04,Levent,European,luxury,147978,4111,157946,621.5,46,21,42,36,47.5,52.5,36
2025-05,Levent,European,luxury,139501,3875,158246,585.9,126,20,18,36,47.5,52.5,36
2025-06,Levent,European,luxury,150070,4169,166422,630.3,49,71,47,36,47.5,52.5,36
2025-07,Levent,European,luxury,147091,4030,158945,617.8,130,52,43,36.5,45,50,30
2025-08,Levent,European,luxury,153279,4199,166599,643.8,23,44,117,36.5,45,50,30
2025-09,Levent,European,luxury,151172,4142,167529,634.9,41,69,13,36.5,45,50,30
2025-10,Levent,European,luxury,154176,4224,170081,647.5,145,70,77,36.5,45,50,30
